GeneFusion	known	n	std1	std2	run	config	barcode	log_n	std_avg	log_std_avg	Identifier	isTrue
ETV6::RUNX1	True	3	53110	397368	Run2	hac	barcode48	0.6020599913279624	225239.0	5.352645518668971	ETV6::RUNX1_barcode48	False
KMT2A::MLLT3	True	2	89470	15338	Run2	hac	barcode48	0.47712125471966244	52404.0	4.719372725319897	KMT2A::MLLT3_barcode48	False
RUNX1::RUNX1T1	True	2	31324	52060	Run2	hac	barcode48	0.47712125471966244	41692.0	4.620063145703663	RUNX1::RUNX1T1_barcode48	False
RUNX1::RUNX1T1	True	8	35185	278560	Run2	hac	barcode49	0.9542425094393249	156872.5	5.1955495861887	RUNX1::RUNX1T1_barcode49	False
ETV6::RUNX1	True	3	62009	314355	Run2	hac	barcode49	0.6020599913279624	188182.0	5.274580387743396	ETV6::RUNX1_barcode49	False
ETV6::RUNX1	True	7	52702	153204	Run2	hac	barcode50	0.9030899869919435	102953.0	5.012643224622632	ETV6::RUNX1_barcode50	False
ETV6::RUNX1	True	2	50745	61531	Run2	hac	barcode51	0.47712125471966244	56138.0	4.749264672310713	ETV6::RUNX1_barcode51	False
RUNX1::RUNX1T1	True	2	2115	89090	Run2	hac	barcode51	0.47712125471966244	45602.5	4.658998175391521	RUNX1::RUNX1T1_barcode51	False
RUNX1::RUNX1T1	True	264	8458	56533	Run2	hac	barcode52	2.423245873936808	32495.5	4.511836588285325	RUNX1::RUNX1T1_barcode52	True
ETV6::RUNX1	True	3	11535	459436	Run2	hac	barcode52	0.6020599913279624	235485.5	5.371966014889292	ETV6::RUNX1_barcode52	False
ABL1::BCR	True	348	1256	1630	Run2	hac	barcode53	2.5428254269591797	1443.0	3.1595671932336202	ABL1::BCR_barcode53	True
ETV6::RUNX1	True	3	95199	201563	Run2	hac	barcode53	0.6020599913279624	148381.0	5.171381220519776	ETV6::RUNX1_barcode53	False
RUNX1::RUNX1T1	True	3	14880	191721	Run2	hac	barcode53	0.6020599913279624	103300.5	5.014106627782865	RUNX1::RUNX1T1_barcode53	False
ETV6::RUNX1	True	4	57731	208701	Run2	hac	barcode54	0.6989700043360189	133216.0	5.12455964927193	ETV6::RUNX1_barcode54	False
RUNX1::RUNX1T1	True	4	43352	400376	Run2	hac	barcode54	0.6989700043360189	221864.0	5.346088796122252	RUNX1::RUNX1T1_barcode54	False
PML::RARA	True	226	1514	1604	Run2	hac	barcode56	2.3560258571931225	1559.0	3.1931245983544616	PML::RARA_barcode56	True
RUNX1::RUNX1T1	True	4	43000	396952	Run2	hac	barcode56	0.6989700043360189	219976.0	5.342377274934658	RUNX1::RUNX1T1_barcode56	False
ETV6::RUNX1	True	3	86973	199998	Run2	hac	barcode56	0.6020599913279624	143485.5	5.156811042175882	ETV6::RUNX1_barcode56	False
ETV6::RUNX1	True	14	72678	402933	Run2	hac	barcode55	1.1760912590556813	237805.5	5.376223721079781	ETV6::RUNX1_barcode55	False
RUNX1::RUNX1T1	True	4	53645	379766	Run2	hac	barcode55	0.6989700043360189	216705.5	5.335871937954779	RUNX1::RUNX1T1_barcode55	False
ETV6::RUNX1	True	2	72705	325437	Run2	sup	barcode41	0.47712125471966244	199071.0	5.2990101796625755	ETV6::RUNX1_barcode41	False
RUNX1::RUNX1T1	True	2	42985	14112	Run2	sup	barcode41	0.47712125471966244	28548.5	4.455598506657438	RUNX1::RUNX1T1_barcode41	False
ETV6::RUNX1	True	2	60297	182916	Run2	sup	barcode42	0.47712125471966244	121606.5	5.084960360365745	ETV6::RUNX1_barcode42	False
ETV6::RUNX1	True	8	76357	325467	Run2	sup	barcode43	0.9542425094393249	200912.0	5.30300803851831	ETV6::RUNX1_barcode43	False
RUNX1::RUNX1T1	True	2	26837	201045	Run2	sup	barcode43	0.47712125471966244	113941.0	5.056683838267411	RUNX1::RUNX1T1_barcode43	False
RUNX1::RUNX1T1	True	146	1655	349	Run2	sup	barcode45	2.167317334748176	1002.0	3.0013009330204183	RUNX1::RUNX1T1_barcode45	True
ETV6::RUNX1	True	3	59818	183317	Run2	sup	barcode45	0.6020599913279624	121567.5	5.0848210580913475	ETV6::RUNX1_barcode45	False
KMT2A::MLLT3	True	418	1499	1250	Run2	sup	barcode47	2.622214022966295	1374.5	3.1384605947257023	KMT2A::MLLT3_barcode47	True
RUNX1::RUNX1T1	True	4	13291	311204	Run2	sup	barcode47	0.6989700043360189	162247.5	5.210180690404708	RUNX1::RUNX1T1_barcode47	False
RUNX1::RUNX1T1	True	4	40090	282632	Run2	sup	barcode48	0.6989700043360189	161361.0	5.207801268097501	RUNX1::RUNX1T1_barcode48	False
ETV6::RUNX1	True	2	31404	353887	Run2	sup	barcode48	0.47712125471966244	192645.5	5.2847611231621805	ETV6::RUNX1_barcode48	False
ETV6::RUNX1	True	5	75265	254441	Run2	sup	barcode49	0.7781512503836436	164853.0	5.217099489282339	ETV6::RUNX1_barcode49	False
RUNX1::RUNX1T1	True	5	20147	311430	Run2	sup	barcode49	0.7781512503836436	165788.5	5.219557021772398	RUNX1::RUNX1T1_barcode49	False
ABL1::BCR	True	2	23777	36914	Run2	sup	barcode49	0.47712125471966244	30345.5	4.482108609139799	ABL1::BCR_barcode49	False
ETV6::RUNX1	True	8	44577	412797	Run2	sup	barcode50	0.9542425094393249	228687.0	5.359243376366637	ETV6::RUNX1_barcode50	False
RUNX1::RUNX1T1	True	3	24895	117245	Run2	sup	barcode50	0.6020599913279624	71070.0	4.851692426198394	RUNX1::RUNX1T1_barcode50	False
RUNX1::RUNX1T1	True	267	3000	62304	Run2	sup	barcode52	2.428134794028789	32652.0	4.5139230883244945	RUNX1::RUNX1T1_barcode52	True
ETV6::RUNX1	True	2	12049	172366	Run2	sup	barcode52	0.47712125471966244	92207.5	4.964770957202709	ETV6::RUNX1_barcode52	False
ABL1::BCR	True	363	2200	4359	Run2	sup	barcode53	2.561101383649056	3279.5	3.5159400420933182	ABL1::BCR_barcode53	True
ETV6::RUNX1	True	7	59280	254950	Run2	sup	barcode54	0.9030899869919435	157115.0	5.196220413925303	ETV6::RUNX1_barcode54	False
RUNX1::RUNX1T1	True	3	39027	335921	Run2	sup	barcode54	0.6020599913279624	187474.0	5.272943362272079	RUNX1::RUNX1T1_barcode54	False
PML::RARA	True	231	1511	1610	Run2	sup	barcode56	2.3654879848909	1560.5	3.1935419885662175	PML::RARA_barcode56	True
ETV6::RUNX1	True	3	43565	419247	Run2	sup	barcode56	0.6020599913279624	231406.0	5.364376492106622	ETV6::RUNX1_barcode56	False
ETV6::RUNX1	True	15	81993	379329	Run2	sup	barcode55	1.2041199826559248	230661.0	5.362976053343668	ETV6::RUNX1_barcode55	False
